sample_index,time_sec,channel,value
0,0.000000,ecg,0.133224
1,0.003906,ecg,0.052653
2,0.007812,ecg,0.107638
3,0.011719,ecg,0.152750
0,0.000000,ppg,-0.026568
4,0.015625,ecg,0.108485
5,0.019531,ecg,0.148034
6,0.023438,ecg,0.132330
7,0.027344,ecg,0.018261
1,0.015625,ppg,0.020992
8,0.031250,ecg,0.126833
9,0.035156,ecg,0.078723
10,0.039062,ecg,0.048288
11,0.042969,ecg,0.207688
2,0.031250,ppg,-0.007504
12,0.046875,ecg,0.483098
13,0.050781,ecg,0.741772
14,0.054688,ecg,0.957096
15,0.058594,ecg,0.896571
3,0.046875,ppg,0.030686
16,0.062500,ecg,0.782569
17,0.066406,ecg,0.464027
18,0.070312,ecg,0.229988
19,0.074219,ecg,0.003233
4,0.062500,ppg,-0.010166
20,0.078125,ecg,0.215309
21,0.082031,ecg,0.178202
22,0.085938,ecg,0.186287
23,0.089844,ecg,0.334479
5,0.078125,ppg,0.103564
24,0.093750,ecg,0.245785
25,0.097656,ecg,0.175521
26,0.101562,ecg,0.212764
27,0.105469,ecg,0.091229
6,0.093750,ppg,0.086754
28,0.109375,ecg,0.222955
29,0.113281,ecg,0.111950
30,0.117188,ecg,-0.037128
31,0.121094,ecg,0.053624
7,0.109375,ppg,0.158686
32,0.125000,ecg,-0.082554
33,0.128906,ecg,0.026771
34,0.132812,ecg,-0.103221
35,0.136719,ecg,-0.033108
8,0.125000,ppg,0.274919
36,0.140625,ecg,-0.060211
37,0.144531,ecg,0.073099
38,0.148438,ecg,0.088308
39,0.152344,ecg,-0.016471
9,0.140625,ppg,0.389640
40,0.156250,ecg,0.042037
41,0.160156,ecg,-0.008999
42,0.164062,ecg,0.028403
43,0.167969,ecg,-0.037642
10,0.156250,ppg,0.506308
44,0.171875,ecg,-0.085417
45,0.175781,ecg,-0.090155
46,0.179688,ecg,0.019156
47,0.183594,ecg,0.112380
11,0.171875,ppg,0.640075
48,0.187500,ecg,0.013471
49,0.191406,ecg,-0.026230
50,0.195312,ecg,0.095601
51,0.199219,ecg,0.011865
12,0.187500,ppg,0.769135
52,0.203125,ecg,0.005072
53,0.207031,ecg,0.012629
54,0.210938,ecg,-0.006619
55,0.214844,ecg,-0.015474
13,0.203125,ppg,0.826248
56,0.218750,ecg,-0.071748
57,0.222656,ecg,0.025081
58,0.226562,ecg,-0.004739
59,0.230469,ecg,0.059654
14,0.218750,ppg,0.900634
60,0.234375,ecg,-0.018441
61,0.238281,ecg,-0.095318
62,0.242188,ecg,-0.004981
63,0.246094,ecg,0.084977
15,0.234375,ppg,0.883765
64,0.250000,ecg,-0.019171
65,0.253906,ecg,-0.044493
66,0.257812,ecg,-0.059680
67,0.261719,ecg,-0.052501
16,0.250000,ppg,0.807040
68,0.265625,ecg,-0.015010
69,0.269531,ecg,-0.058999
70,0.273438,ecg,0.074882
71,0.277344,ecg,-0.014132
17,0.265625,ppg,0.688150
